date,crop_name,category,min_price,max_price,avg_price
2010-01-01,Apple,Fruits,2.5,120.0,38.49
2010-01-01,Wheat,Grains,7.69,23.0,14.33
2010-01-01,Watermelon,Fruits,7.27,10.9,9.09
2010-01-01,Turmeric,Herbs & Spices,20.0,150.0,92.48
2010-01-01,Tomato,Vegetables,7.34,11.01,9.18
2010-01-01,Rice,Grains,7.0,92.0,20.02
2010-01-01,Potato,Vegetables,2.0,25.0,7.78
2010-01-01,Pomegranate,Fruits,32.5,48.75,40.63
2010-01-01,Onion,Vegetables,12.28,18.42,15.35
2010-01-01,Okra,Vegetables,2.0,40.0,17.99
2010-01-01,Mint,Herbs & Spices,6.0,55.0,23.9
2010-01-01,Lemon,Fruits,5.0,90.0,17.96
2010-01-01,Guava,Fruits,8.27,12.41,10.34
2010-01-01,Green Onion,Vegetables,2.5,32.0,9.49
2010-01-01,Green Hot Pepper,Vegetables,9.43,14.15,11.79
2010-01-01,Green Beans,Vegetables,10.0,35.0,20.25
2010-01-01,Orange,Fruits,2.08,50.0,18.26
2010-01-01,Ginger,Herbs & Spices,6.0,50.0,27.35
2010-01-01,Grapes,Fruits,2.5,100.0,33.31
2010-01-01,Banana,Fruits,9.93,14.89,12.41
2010-01-01,Barley,Grains,7.35,15.95,8.74
2010-01-01,Bell Pepper,Vegetables,8.0,41.0,21.58
2010-01-01,Black pepper,Herbs & Spices,73.0,160.0,128.28
2010-01-01,Cantaloupe,Fruits,6.0,22.5,13.75
2010-01-01,Carrot,Vegetables,6.13,9.19,7.66
2010-01-01,Cabbage,Vegetables,4.52,6.78,5.65
2010-01-01,Coriander Leaves,Herbs & Spices,8.79,13.19,10.99
2010-01-01,Corn,Grains,5.5,24.0,9.17
2010-01-01,Cucumber,Vegetables,2.0,30.0,10.04
2010-01-01,Cumin,Herbs & Spices,65.75,141.0,120.52
2010-01-01,Eggplant,Vegetables,6.66,9.99,8.32
2010-01-01,Garlic,Vegetables,15.0,85.0,48.71
2010-01-02,Onion,Vegetables,12.06,18.09,15.07
2010-01-02,Lemon,Fruits,4.0,90.0,18.2
2010-01-02,Mango,Fruits,2.5,46.0,29.17
2010-01-02,Mint,Herbs & Spices,7.0,40.0,18.17
2010-01-02,Okra,Vegetables,2.0,40.0,18.42
2010-01-02,Guava,Fruits,8.21,12.32,10.27
2010-01-02,Orange,Fruits,2.57,40.0,19.33
2010-01-02,Wheat,Grains,9.75,21.01,14.35
2010-01-02,Pomegranate,Fruits,2.05,86.0,42.75
2010-01-02,Potato,Vegetables,2.0,28.0,7.81
2010-01-02,Rice,Grains,8.0,80.0,19.09
2010-01-02,Tomato,Vegetables,7.4,11.09,9.25
2010-01-02,Turmeric,Herbs & Spices,35.0,130.0,75.42
2010-01-02,Watermelon,Fruits,5.56,8.34,6.95
2010-01-02,Green Onion,Vegetables,3.0,30.0,10.06
2010-01-02,Peach,Fruits,14.0,18.0,16.0
2010-01-02,Green Hot Pepper,Vegetables,2.0,60.0,12.06
2010-01-02,Carrot,Vegetables,5.95,8.92,7.43
2010-01-02,Grapes,Fruits,2.5,80.0,30.99
2010-01-02,Apple,Fruits,3.0,107.5,35.86
2010-01-02,Green Beans,Vegetables,10.0,35.0,22.84
2010-01-02,Barley,Grains,7.0,11.75,8.45
2010-01-02,Bell Pepper,Vegetables,8.0,40.0,21.38
2010-01-02,Black pepper,Herbs & Spices,85.0,160.0,135.87
2010-01-02,Cabbage,Vegetables,4.64,6.96,5.8
2010-01-02,Cantaloupe,Fruits,5.0,17.5,12.11
2010-01-02,Banana,Fruits,9.77,14.66,12.21
2010-01-02,Coriander Leaves,Herbs & Spices,7.41,11.12,9.26
2010-01-02,Corn,Grains,6.0,22.0,9.03
2010-01-02,Cucumber,Vegetables,7.7,11.56,9.63
2010-01-02,Cumin,Herbs & Spices,63.9,140.0,117.95
2010-01-02,Eggplant,Vegetables,6.62,9.93,8.28
2010-01-02,Garlic,Vegetables,10.0,80.0,48.12
2010-01-02,Ginger,Herbs & Spices,3.75,50.0,25.98
2010-01-03,Lemon,Fruits,2.5,90.0,18.95
2010-01-03,Mint,Herbs & Spices,9.0,40.0,21.67
2010-01-03,Okra,Vegetables,15.18,22.77,18.97
2010-01-03,Onion,Vegetables,11.62,17.44,14.53
2010-01-03,Orange,Fruits,5.5,40.0,18.5
2010-01-03,Peach,Fruits,15.0,18.0,16.0
2010-01-03,Tomato,Vegetables,6.99,10.48,8.73
2010-01-03,Rice,Grains,7.5,35.0,18.38
2010-01-03,Guava,Fruits,3.0,20.0,9.75
2010-01-03,Turmeric,Herbs & Spices,45.0,90.0,79.83
2010-01-03,Watermelon,Fruits,8.0,8.0,8.0
2010-01-03,Wheat,Grains,10.8,20.0,13.73
2010-01-03,Pomegranate,Fruits,2.05,80.0,33.01
2010-01-03,Green Onion,Vegetables,3.5,17.5,8.69
2010-01-03,Potato,Vegetables,3.0,22.0,7.57
2010-01-03,Grapes,Fruits,3.0,80.0,30.54
2010-01-03,Apple,Fruits,3.0,102.5,36.3
2010-01-03,Banana,Fruits,8.67,13.01,10.84
2010-01-03,Barley,Grains,7.65,9.6,8.24
2010-01-03,Bell Pepper,Vegetables,8.0,26.0,18.58
2010-01-03,Green Hot Pepper,Vegetables,2.5,50.0,12.64
2010-01-03,Cantaloupe,Fruits,12.0,12.0,12.0
2010-01-03,Cabbage,Vegetables,2.0,19.0,5.88
2010-01-03,Coriander Leaves,Herbs & Spices,8.8,13.19,11.0
2010-01-03,Corn,Grains,6.0,11.5,8.68
2010-01-03,Cucumber,Vegetables,7.61,11.41,9.51
2010-01-03,Eggplant,Vegetables,6.79,10.18,8.49
2010-01-03,Garlic,Vegetables,20.0,80.0,50.38
2010-01-03,Ginger,Herbs & Spices,8.0,40.0,23.82
2010-01-03,Carrot,Vegetables,5.6,8.41,7.01
2010-01-04,Orange,Fruits,2.0,45.0,20.26
2010-01-04,Lemon,Fruits,4.0,110.0,20.52
2010-01-04,Mango,Fruits,21.0,34.0,27.0
2010-01-04,Mint,Herbs & Spices,7.0,50.0,24.08
2010-01-04,Okra,Vegetables,2.0,42.0,18.91
2010-01-04,Onion,Vegetables,12.04,18.05,15.04
2010-01-04,Peach,Fruits,14.0,15.0,14.5
2010-01-04,Wheat,Grains,7.0,32.91,14.49
2010-01-04,Potato,Vegetables,3.0,33.0,7.8
2010-01-04,Rice,Grains,8.0,80.0,18.73
2010-01-04,Tomato,Vegetables,7.89,11.84,9.87
2010-01-04,Turmeric,Herbs & Spices,36.0,145.0,90.78
2010-01-04,Watermelon,Fruits,2.0,15.0,8.35
2010-01-04,Guava,Fruits,7.75,11.63,9.69
2010-01-04,Pomegranate,Fruits,32.07,48.1,40.08
2010-01-04,Green Onion,Vegetables,4.0,27.0,10.41
2010-01-04,Green Hot Pepper,Vegetables,2.5,50.0,12.22
2010-01-04,Apple,Fruits,2.0,120.0,37.13
2010-01-04,Green Beans,Vegetables,7.0,40.0,18.56
2010-01-04,Banana,Fruits,9.46,14.19,11.83
2010-01-04,Barley,Grains,7.25,10.3,8.47
2010-01-04,Bell Pepper,Vegetables,7.0,41.0,20.06
2010-01-04,Black pepper,Herbs & Spices,80.0,160.0,127.69
2010-01-04,Cantaloupe,Fruits,7.5,17.5,11.78
2010-01-04,Carrot,Vegetables,6.59,9.88,8.23
2010-01-04,Cabbage,Vegetables,4.41,6.61,5.51
2010-01-04,Corn,Grains,6.02,14.0,8.91
2010-01-04,Cucumber,Vegetables,8.01,12.01,10.01
2010-01-04,Cumin,Herbs & Spices,67.2,140.05,120.59
2010-01-04,Eggplant,Vegetables,6.92,10.38,8.65
2010-01-04,Garlic,Vegetables,13.01,80.0,49.34
2010-01-04,Ginger,Herbs & Spices,5.5,50.0,25.68
2010-01-04,Grapes,Fruits,2.5,80.0,32.12
2010-01-04,Coriander Leaves,Herbs & Spices,10.21,15.31,12.76
2010-01-05,Orange,Fruits,2.0,50.0,21.04
2010-01-05,Lemon,Fruits,2.0,100.0,20.36
2010-01-05,Mango,Fruits,25.0,40.0,32.5
2010-01-05,Mint,Herbs & Spices,5.0,75.0,25.62
2010-01-05,Okra,Vegetables,14.37,21.55,17.96
