date,crop_name,category,min_price,max_price,avg_price
2023-01-01,Wheat,Grains,6.4,35.4,25.15
2023-01-01,Guava,Fruits,6.0,54.0,19.33
2023-01-01,Lemon,Fruits,12.0,80.0,34.16
2023-01-01,Mint,Herbs & Spices,15.54,23.31,19.42
2023-01-01,Okra,Vegetables,4.0,90.0,31.33
2023-01-01,Onion,Vegetables,14.51,21.76,18.13
2023-01-01,Orange,Fruits,10.0,100.0,38.63
2023-01-01,Pomegranate,Fruits,18.0,160.0,64.97
2023-01-01,Green Onion,Vegetables,7.71,11.57,9.64
2023-01-01,Rice,Grains,17.1,56.01,29.4
2023-01-01,Tomato,Vegetables,9.8,14.7,12.25
2023-01-01,Turmeric,Herbs & Spices,70.0,95.5,83.95
2023-01-01,Watermelon,Fruits,5.0,25.0,14.12
2023-01-01,Pear,Fruits,70.0,90.0,80.0
2023-01-01,Potato,Vegetables,10.47,15.7,13.08
2023-01-01,Mango,Fruits,40.0,71.0,60.17
2023-01-01,Grapes,Fruits,25.0,150.0,62.29
2023-01-01,Green Beans,Vegetables,8.0,60.0,39.65
2023-01-01,Apple,Fruits,12.5,220.0,56.02
2023-01-01,Banana,Fruits,6.0,65.0,24.19
2023-01-01,Barley,Grains,16.0,30.3,26.14
2023-01-01,Bell Pepper,Vegetables,10.0,70.0,29.36
2023-01-01,Black pepper,Herbs & Spices,438.0,482.0,463.33
2023-01-01,Cabbage,Vegetables,2.0,45.0,10.83
2023-01-01,Green Hot Pepper,Vegetables,4.0,110.0,27.71
2023-01-01,Carrot,Vegetables,13.38,20.06,16.72
2023-01-01,Coriander Leaves,Herbs & Spices,11.76,17.63,14.7
2023-01-01,Corn,Grains,14.0,28.0,20.78
2023-01-01,Cucumber,Vegetables,3.0,60.0,20.87
2023-01-01,Eggplant,Vegetables,11.38,17.07,14.23
2023-01-01,Garlic,Vegetables,2.0,83.0,28.01
2023-01-01,Ginger,Herbs & Spices,7.5,100.0,39.82
2023-01-01,Cantaloupe,Fruits,5.0,31.0,18.29
2023-01-02,Guava,Fruits,5.0,1900.0,35.99
2023-01-02,Lemon,Fruits,3.5,124.0,32.05
2023-01-02,Mango,Fruits,20.0,200.0,73.88
2023-01-02,Mint,Herbs & Spices,16.59,24.88,20.74
